NOTE: Annotations and predictions are separated with three blanks if annotations take up more than 75 characters
      Annotations/predictions are separated from other annotations/predictions by semi-colon

PREDICTIONS OF LABELLED DATA

GENE           ANNOTATION                                                                 PREDICTIONS
X74330         GO:0006259: DNA metabolism;GO:0000278: mitotic cell cycle;                 GO:0006259: DNA metabolism;GO:0006928: cell motility;GO:0000278: mitotic cell cycle;
Y08837         GO:0006259: DNA metabolism;                                                GO:0008283: cell proliferation;GO:0006259: DNA metabolism;GO:0007166: cell surface receptor linked signal transduction;GO:0007267: cell-cell signaling;GO:0006959: humoral defense mechanism;
X74331         GO:0006259: DNA metabolism;GO:0000278: mitotic cell cycle;                 GO:0006259: DNA metabolism;GO:0000278: mitotic cell cycle;
X74794         GO:0006259: DNA metabolism;GO:0000278: mitotic cell cycle;                 GO:0006259: DNA metabolism;GO:0000278: mitotic cell cycle;
D16581         GO:0006259: DNA metabolism;                                                GO:0006259: DNA metabolism;GO:0006411: protein metabolism and modification;
X75091         GO:0006259: DNA metabolism;GO:0007048: oncogenesis;GO:0000278: mitotic cell cycle;   GO:0006259: DNA metabolism;GO:0000278: mitotic cell cycle;GO:0007048: oncogenesis;
M80397         GO:0006259: DNA metabolism;GO:0000278: mitotic cell cycle;                 GO:0006259: DNA metabolism;GO:0000278: mitotic cell cycle;
D38073         GO:0006259: DNA metabolism;GO:0000278: mitotic cell cycle;                 GO:0006259: DNA metabolism;GO:0000278: mitotic cell cycle;
L24783         GO:0006259: DNA metabolism;GO:0000278: mitotic cell cycle;                 GO:0006259: DNA metabolism;GO:0000278: mitotic cell cycle;
U03911         GO:0006259: DNA metabolism;GO:0007048: oncogenesis;                        GO:0006259: DNA metabolism;GO:0007048: oncogenesis;
U63139         GO:0006259: DNA metabolism;                                                GO:0006259: DNA metabolism;GO:0007601: vision;
M29971         GO:0006259: DNA metabolism;GO:0000278: mitotic cell cycle;                 GO:0006259: DNA metabolism;GO:0000278: mitotic cell cycle;GO:0005975: carbohydrate metabolism;
U31930         GO:0006259: DNA metabolism;GO:0000278: mitotic cell cycle;                 GO:0006259: DNA metabolism;GO:0000278: mitotic cell cycle;GO:0006411: protein metabolism and modification;GO:0006412: protein biosynthesis;
U63329         GO:0006259: DNA metabolism;                                                GO:0006259: DNA metabolism;GO:0007582: physiological processes;
D79984         GO:0006259: DNA metabolism;GO:0006366: transcription from Pol II promoter; GO:0006259: DNA metabolism;GO:0006366: transcription from Pol II promoter;
D79999         GO:0006259: DNA metabolism;GO:0006411: protein metabolism and modification;GO:0006259: DNA metabolism;GO:0006810: transport;GO:0006411: protein metabolism and modification;
U04847         GO:0006259: DNA metabolism;GO:0006366: transcription from Pol II promoter; GO:0006468: protein phosphorylation;GO:0006259: DNA metabolism;GO:0006366: transcription from Pol II promoter;GO:0007242: intracellular signaling cascade;
U85611         GO:0006259: DNA metabolism;GO:0007155: cell adhesion;                      GO:0006259: DNA metabolism;GO:0007155: cell adhesion;GO:0006810: transport;GO:0007242: intracellular signaling cascade;
U32986         GO:0006259: DNA metabolism;                                                GO:0006259: DNA metabolism;GO:0007498: mesoderm development;
X77588         GO:0006259: DNA metabolism;GO:0006411: protein metabolism and modification;GO:0006259: DNA metabolism;GO:0006411: protein metabolism and modification;
D83004         GO:0006259: DNA metabolism;GO:0006411: protein metabolism and modification;GO:0006508: proteolysis and peptidolysis;   GO:0006259: DNA metabolism;GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;
X52221         GO:0006259: DNA metabolism;                                                GO:0006259: DNA metabolism;GO:0007602: phototransduction;GO:0007582: physiological processes;
U47077         GO:0006259: DNA metabolism;GO:0006411: protein metabolism and modification;GO:0006259: DNA metabolism;GO:0006091: energy pathways;GO:0006411: protein metabolism and modification;
U18300         GO:0006259: DNA metabolism;                                                GO:0006259: DNA metabolism;
U64315         GO:0006259: DNA metabolism;                                                GO:0008283: cell proliferation;GO:0006259: DNA metabolism;GO:0007582: physiological processes;
M30938         GO:0006259: DNA metabolism;                                                GO:0006259: DNA metabolism;
X78627         GO:0006259: DNA metabolism;                                                GO:0006259: DNA metabolism;
U64805         GO:0006259: DNA metabolism;GO:0006366: transcription from Pol II promoter; GO:0006259: DNA metabolism;GO:0006366: transcription from Pol II promoter;GO:0006810: transport;
U47742         GO:0006259: DNA metabolism;                                                GO:0000074: cell cycle control;GO:0006468: protein phosphorylation;GO:0006259: DNA metabolism;GO:0006629: lipid metabolism;
D14533         GO:0006259: DNA metabolism;                                                GO:0006259: DNA metabolism;GO:0007582: physiological processes;
D50370         GO:0006259: DNA metabolism;                                                GO:0000074: cell cycle control;GO:0006259: DNA metabolism;
D00097         GO:0006259: DNA metabolism;GO:0006411: protein metabolism and modification;GO:0007582: physiological processes;   GO:0006259: DNA metabolism;GO:0007582: physiological processes;GO:0006411: protein metabolism and modification;
U66615         GO:0006259: DNA metabolism;GO:0006366: transcription from Pol II promoter; GO:0006259: DNA metabolism;GO:0006366: transcription from Pol II promoter;
U90651         GO:0006259: DNA metabolism;GO:0007155: cell adhesion;GO:0007166: cell surface receptor linked signal transduction;GO:0006366: transcription from Pol II promoter;   GO:0006259: DNA metabolism;GO:0006366: transcription from Pol II promoter;GO:0007166: cell surface receptor linked signal transduction;GO:0007155: cell adhesion;
U66616         GO:0006259: DNA metabolism;GO:0006366: transcription from Pol II promoter; GO:0006259: DNA metabolism;GO:0006366: transcription from Pol II promoter;GO:0007267: cell-cell signaling;GO:0006810: transport;
U66617         GO:0006259: DNA metabolism;GO:0006366: transcription from Pol II promoter; GO:0006259: DNA metabolism;GO:0006366: transcription from Pol II promoter;
U66618         GO:0006259: DNA metabolism;GO:0006366: transcription from Pol II promoter; GO:0006259: DNA metabolism;GO:0006366: transcription from Pol II promoter;GO:0006508: proteolysis and peptidolysis;
U66619         GO:0006259: DNA metabolism;GO:0006366: transcription from Pol II promoter; GO:0006259: DNA metabolism;GO:0006366: transcription from Pol II promoter;
D29013         GO:0006259: DNA metabolism;GO:0000278: mitotic cell cycle;                 GO:0006259: DNA metabolism;GO:0000278: mitotic cell cycle;
M63488         GO:0006259: DNA metabolism;GO:0000278: mitotic cell cycle;                 GO:0006259: DNA metabolism;GO:0000278: mitotic cell cycle;
U67122         GO:0006259: DNA metabolism;GO:0006810: transport;                          GO:0006259: DNA metabolism;GO:0006810: transport;
D38551         GO:0006259: DNA metabolism;                                                GO:0006259: DNA metabolism;
U07418         GO:0006259: DNA metabolism;GO:0007048: oncogenesis;                        GO:0006259: DNA metabolism;GO:0007048: oncogenesis;
D21089         GO:0006259: DNA metabolism;                                                GO:0006259: DNA metabolism;
X55740         GO:0006259: DNA metabolism;                                                
M31899         GO:0006259: DNA metabolism;                                                GO:0006259: DNA metabolism;GO:0006411: protein metabolism and modification;
D55716         GO:0006259: DNA metabolism;GO:0000278: mitotic cell cycle;                 GO:0006259: DNA metabolism;GO:0000278: mitotic cell cycle;
L34587         GO:0006366: transcription from Pol II promoter;                            GO:0006366: transcription from Pol II promoter;
U08998         GO:0006366: transcription from Pol II promoter;GO:0007582: physiological processes;   GO:0006366: transcription from Pol II promoter;GO:0007582: physiological processes;
X60787         GO:0006366: transcription from Pol II promoter;                            GO:0006366: transcription from Pol II promoter;GO:0007582: physiological processes;
X86691         GO:0006366: transcription from Pol II promoter;                            GO:0006366: transcription from Pol II promoter;GO:0006091: energy pathways;
U09367         GO:0006366: transcription from Pol II promoter;                            GO:0006259: DNA metabolism;GO:0006366: transcription from Pol II promoter;GO:0007155: cell adhesion;GO:0006411: protein metabolism and modification;
D42055         GO:0006366: transcription from Pol II promoter;GO:0006411: protein metabolism and modification;GO:0006508: proteolysis and peptidolysis;GO:0006810: transport;   GO:0006366: transcription from Pol II promoter;GO:0006810: transport;GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;
L47345         GO:0006366: transcription from Pol II promoter;                            GO:0000074: cell cycle control;GO:0006468: protein phosphorylation;GO:0008283: cell proliferation;GO:0006366: transcription from Pol II promoter;
M14328         GO:0006366: transcription from Pol II promoter;                            GO:0006366: transcription from Pol II promoter;
X87613         GO:0006366: transcription from Pol II promoter;GO:0007166: cell surface receptor linked signal transduction;   GO:0006366: transcription from Pol II promoter;GO:0007166: cell surface receptor linked signal transduction;GO:0007155: cell adhesion;
X87838         GO:0006366: transcription from Pol II promoter;GO:0007048: oncogenesis;    GO:0006259: DNA metabolism;GO:0006366: transcription from Pol II promoter;GO:0007048: oncogenesis;
U20734         GO:0006366: transcription from Pol II promoter;                            GO:0006366: transcription from Pol II promoter;
L08424         GO:0006366: transcription from Pol II promoter;GO:0007048: oncogenesis;    GO:0006259: DNA metabolism;GO:0006366: transcription from Pol II promoter;GO:0000278: mitotic cell cycle;GO:0007048: oncogenesis;
X89430         GO:0006366: transcription from Pol II promoter;                            GO:0006955: immune response;GO:0000074: cell cycle control;GO:0006366: transcription from Pol II promoter;GO:0000278: mitotic cell cycle;GO:0007242: intracellular signaling cascade;
